market for polyethylene terephthalate, granulate, amorphous;GLO;kilogram;polyethylene terephthalate, granulate, amorphous
laminating service, foil, with acrylic binder;RER;square meter;laminating service, foil, with acrylic binder
market for nitric acid, without water, in 50% solution state;RER w/o RU;kilogram;nitric acid, without water, in 50% solution state
market for potassium carbonate;GLO;kilogram;potassium carbonate
market for tin;GLO;kilogram;tin
market for polycarbonate;RoW;kilogram;polycarbonate
reinforcing steel production;Europe without Austria;kilogram;reinforcing steel
chemical factory construction, organics;RoW;unit;chemical factory, organics
lime production, milled, packed;RoW;kilogram;lime, packed
liquid storage tank production, chemicals, organics;RoW;unit;liquid storage tank, chemicals, organics
market for hard coal;RoW;kilogram;hard coal
market for transport, freight train;RoW;ton kilometer;transport, freight train
market group for electricity, medium voltage;GLO;kilowatt hour;electricity, medium voltage
methanol production, coal gasification;RoW;kilogram;methanol
transport, freight, inland waterways, barge;RoW;ton kilometer;transport, freight, inland waterways, barge
treatment of hard coal ash, residual material landfill;RoW;kilogram;hard coal ash
treatment of waste gypsum, inert material landfill;RoW;kilogram;waste gypsum
treatment of wastewater, average, wastewater treatment;RoW;cubic meter;wastewater, average
water production, deionised;RoW;kilogram;water, deionised
market for nitrogen, liquid;RoW;kilogram;nitrogen, liquid
market for ammonia, anhydrous, liquid;RoW;kilogram;ammonia, anhydrous, liquid
market for sand;CH;kilogram;sand
treatment of inert waste, sanitary landfill;RER;kilogram;inert waste
market for sheet rolling, aluminium;GLO;kilogram;sheet rolling, aluminium
desulfurisation of lignite flue gas;GLO;kilogram;SOx retained, in lignite flue gas desulfurisation
market for chemical, organic;GLO;kilogram;chemical, organic
market for chlorine, liquid;RER;kilogram;chlorine, liquid
sodium chloride production, powder;RER;kilogram;sodium chloride, powder
treatment of municipal solid waste, municipal incineration FAE;CH;kilogram;municipal solid waste
treatment of waste mineral oil, hazardous waste incineration;CH;kilogram;waste mineral oil
treatment of wastewater, average, wastewater treatment;CH;cubic meter;wastewater, average
treatment of wood ash mixture, pure, landfarming;CH;kilogram;wood ash mixture, pure
treatment of wood ash mixture, pure, municipal incineration FAE;CH;kilogram;wood ash mixture, pure
treatment of wood ash mixture, pure, sanitary landfill;CH;kilogram;wood ash mixture, pure
market for water, deionised;CH;kilogram;water, deionised
market for graphite;GLO;kilogram;graphite
market for polyvinylidenchloride, granulate;RoW;kilogram;polyvinylidenchloride, granulate
market for injection moulding;GLO;kilogram;injection moulding
market for carbon black;GLO;kilogram;carbon black
market for platinum;GLO;kilogram;platinum
market for natural gas, high pressure;CN;cubic meter;natural gas, high pressure
market for steam, in chemical industry;RoW;kilogram;steam, in chemical industry
market group for electricity, medium voltage;ENTSO-E;kilowatt hour;electricity, medium voltage
market for electricity, medium voltage;ID;kilowatt hour;electricity, medium voltage
market for tap water;RoW;kilogram;tap water
market for transport, freight, lorry, unspecified;RoW;ton kilometer;transport, freight, lorry, unspecified
market for palladium;GLO;kilogram;palladium
market for silicon carbide;GLO;kilogram;silicon carbide
market for air compressor, screw-type compressor, 4kW;GLO;unit;air compressor, screw-type compressor, 4kW
market for SOx retained, in hard coal flue gas desulfurisation;RER;kilogram;SOx retained, in hard coal flue gas desulfurisation
market for hard coal;Europe, without Russia and Türkiye;kilogram;hard coal
market for water, completely softened;RER;kilogram;water, completely softened
market group for light fuel oil;RER;kilogram;light fuel oil
market for ceramic tile;GLO;kilogram;ceramic tile
heat pump production, heat and power co-generation unit, 160kW electrical;RER;unit;heat pump, heat and power co-generation unit, 160kW electrical
market for absorption chiller, 100kW;GLO;unit;absorption chiller, 100kW
market for charcoal;GLO;kilogram;charcoal
market for gas turbine, 10MW electrical;GLO;unit;gas turbine, 10MW electrical
market for pump, 40W;GLO;unit;pump, 40W
treatment of spent solvent mixture, hazardous waste incineration;CH;kilogram;spent solvent mixture
treatment of aluminium scrap, new, at refiner;RER;kilogram;aluminium oxide, non-metallurgical
treatment of lead in car shredder residue, municipal incineration FAE;CH;kilogram;lead in car shredder residue
treatment of scrap aluminium, municipal incineration FAE;CH;kilogram;scrap aluminium
treatment of scrap copper, municipal incineration FAE;CH;kilogram;scrap copper
treatment of scrap steel, inert material landfill;CH;kilogram;scrap steel
treatment of waste aluminium, sanitary landfill;CH;kilogram;waste aluminium
treatment of waste bulk iron, excluding reinforcement, sorting plant;CH;kilogram;waste bulk iron, excluding reinforcement
treatment of waste concrete, not reinforced, collection for final disposal;CH;kilogram;waste concrete, not reinforced
treatment of waste concrete, not reinforced, recycling;CH;kilogram;waste concrete, not reinforced
treatment of waste emulsion paint on wall, collection for final disposal;CH;kilogram;waste emulsion paint, on wall
treatment of waste glass, inert material landfill;CH;kilogram;waste glass
treatment of waste glass, municipal incineration FAE;CH;kilogram;waste glass
treatment of waste mineral wool, collection for final disposal;CH;kilogram;waste mineral wool
treatment of waste mineral wool, recycling;CH;kilogram;waste mineral wool
treatment of waste polyethylene, municipal incineration FAE;CH;kilogram;waste polyethylene
treatment of waste polyethylene, sanitary landfill;CH;kilogram;waste polyethylene
treatment of waste polypropylene, municipal incineration FAE;CH;kilogram;waste polypropylene
treatment of waste polypropylene, sanitary landfill;CH;kilogram;waste polypropylene
treatment of waste polystyrene, municipal incineration FAE;CH;kilogram;waste polystyrene
treatment of waste polystyrene, sanitary landfill;CH;kilogram;waste polystyrene
treatment of waste polyvinylchloride, municipal incineration FAE;CH;kilogram;waste polyvinylchloride
treatment of waste polyvinylchloride, sanitary landfill;CH;kilogram;waste polyvinylchloride
treatment of waste reinforcement steel, collection for final disposal;CH;kilogram;waste reinforcement steel
treatment of waste reinforcement steel, sorting plant;CH;kilogram;waste reinforcement steel
treatment of waste wood, untreated, municipal incineration FAE;CH;kilogram;waste wood, untreated
treatment of zinc in car shredder residue, municipal incineration FAE;CH;kilogram;zinc in car shredder residue
market for scrap steel;Europe without Switzerland;kilogram;scrap steel
market for scrap aluminium;Europe without Switzerland;kilogram;scrap aluminium
market for scrap copper;Europe without Switzerland;kilogram;scrap copper
market for waste plastic, mixture;DE;kilogram;waste plastic, mixture
market for waste rubber, unspecified;Europe without Switzerland;kilogram;waste rubber, unspecified
market for polyvinylchloride, bulk polymerised;GLO;kilogram;polyvinylchloride, bulk polymerised
market for sheet rolling, chromium steel;GLO;kilogram;sheet rolling, chromium steel
market for concrete, normal strength;CH;cubic meter;concrete, normal strength
market for flat glass, coated;RER;kilogram;flat glass, coated
market for clay brick;RoW;kilogram;clay brick
diesel, burned in building machine;GLO;megajoule;diesel, burned in building machine
heat production, heavy fuel oil, at industrial furnace 1MW;Europe without Switzerland;megajoule;heat, district or industrial, other than natural gas
market for copper, anode;GLO;kilogram;copper, anode
market for diesel, burned in building machine;GLO;megajoule;diesel, burned in building machine
market for stone wool;GLO;kilogram;stone wool
steel production, chromium steel 18/8, hot rolled;RER;kilogram;steel, chromium steel 18/8, hot rolled
treatment of waste mineral wool, sorting plant;CH;kilogram;waste mineral wool
treatment of waste polyethylene/polypropylene product, collection for final disposal;CH;kilogram;waste polyethylene/polypropylene product
treatment of waste reinforced concrete, collection for final disposal;CH;kilogram;waste reinforced concrete
market for natural gas, medium pressure, vehicle grade;GLO;kilogram;natural gas, medium pressure, vehicle grade
market for water, decarbonised;RoW;kilogram;water, decarbonised
market for heat, district or industrial, natural gas;RoW;megajoule;heat, district or industrial, natural gas
market for methanol;RER;kilogram;methanol
market for sodium methoxide;GLO;kilogram;sodium methoxide
market for transport, freight, inland waterways, barge;RER;ton kilometer;transport, freight, inland waterways, barge
market for transport, freight, sea, tanker for petroleum;GLO;ton kilometer;transport, freight, sea, tanker for petroleum
market for transport, pipeline, onshore, petroleum;RER;ton kilometer;transport, pipeline, onshore, petroleum
market group for electricity, medium voltage;Europe without Switzerland;kilowatt hour;electricity, medium voltage
market for activated carbon, granular;GLO;kilogram;activated carbon, granular
market for dolomite;RER;kilogram;dolomite
market for ammonium sulfate;RER;kilogram;ammonium sulfate
market for calcium chloride;RER;kilogram;calcium chloride
market for magnesium sulfate;GLO;kilogram;magnesium sulfate
market for sodium chloride, powder;GLO;kilogram;sodium chloride, powder
market for sulfur dioxide, liquid;RER;kilogram;sulfur dioxide, liquid
market for transformer, high voltage use;GLO;kilogram;transformer, high voltage use
battery management system production, for Li-ion battery;GLO;kilogram;battery management system, for Li-ion battery
market for battery module packaging, Li-ion;GLO;kilogram;battery module packaging, Li-ion
market group for electricity, medium voltage;CN;kilowatt hour;electricity, medium voltage
market for electronic component, passive, unspecified;GLO;kilogram;electronic component, passive, unspecified
market for glass fibre reinforced plastic, polyamide, injection moulded;GLO;kilogram;glass fibre reinforced plastic, polyamide, injection moulded
market for impact extrusion of aluminium, 1 stroke;GLO;kilogram;impact extrusion of aluminium, 1 stroke
market for sheet rolling, steel;GLO;kilogram;sheet rolling, steel
market for diesel, burned in agricultural machinery;GLO;megajoule;diesel, burned in agricultural machinery
market for tube insulation, elastomere;GLO;kilogram;tube insulation, elastomere
market for wire drawing, copper;GLO;kilogram;wire drawing, copper
market for electronics, for control units;GLO;kilogram;electronics, for control units
extrusion, plastic pipes;RER;kilogram;extrusion, plastic pipes
market for polyethylene, low density, granulate;GLO;kilogram;polyethylene, low density, granulate
market for welding, arc, steel;GLO;meter;welding, arc, steel
treatment of waste reinforcement steel, sorting plant;RoW;kilogram;waste reinforcement steel
market for waste plastic, industrial electronics;RoW;kilogram;waste plastic, industrial electronics
treatment of scrap printed wiring boards, shredding and separation;RoW;kilogram;used printed wiring boards
treatment of used cable;GLO;kilogram;used cable
treatment of waste polyethylene/polypropylene product, collection for final disposal;Europe without Switzerland;kilogram;waste polyethylene/polypropylene product
treatment of waste bulk iron, excluding reinforcement, sorting plant;Europe without Switzerland;kilogram;waste bulk iron, excluding reinforcement
market for waste concrete, not reinforced;Europe without Switzerland;kilogram;waste concrete, not reinforced
treatment of waste zeolite, inert material landfill;RoW;kilogram;waste zeolite
market for concrete, 37MPa;CH;cubic meter;concrete, 37MPa
market for extrusion, plastic pipes;GLO;kilogram;extrusion, plastic pipes
market for heat, from steam, in chemical industry;RoW;megajoule;heat, from steam, in chemical industry
market for hydrochloric acid, without water, in 30% solution state;RoW;kilogram;hydrochloric acid, without water, in 30% solution state
market for transport, freight, inland waterways, barge;RoW;ton kilometer;transport, freight, inland waterways, barge
alkyd paint production, white, water-based, product in 60% solution state;RER;kilogram;alkyd paint, white, without water, in 60% solution state
aluminium, ingot, primary, import from Rest of Europe;IAI Area, EU27 & EFTA;kilogram;aluminium, primary, ingot
ceramic tile production;CH;kilogram;ceramic tile
excavation, hydraulic digger;RER;cubic meter;excavation, hydraulic digger
flat glass production, uncoated;RER;kilogram;flat glass, uncoated
market for polyvinylfluoride;GLO;kilogram;polyvinylfluoride
petroleum refinery operation;CH;kilogram;kerosene
plywood production;RER;cubic meter;plywood
polyethylene production, low density, granulate;RER;kilogram;polyethylene, low density, granulate
polypropylene production, granulate;RER;kilogram;polypropylene, granulate
polystyrene production, high impact;RER;kilogram;polystyrene, high impact
primary zinc production from concentrate;RoW;kilogram;indium rich leaching residues, from zinc production
steel production, converter, low-alloyed;RER;kilogram;steel, low-alloyed
steel production, converter, unalloyed;RER;kilogram;steel, unalloyed
steel production, electric, chromium steel 18/8;RER;kilogram;steel, chromium steel 18/8
transport, freight, lorry >32 metric ton, EURO4;RER;ton kilometer;transport, freight, lorry >32 metric ton, EURO4
treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner;RER;kilogram;aluminium, cast alloy
market for used vegetable cooking oil;GLO;kilogram;used vegetable cooking oil
market for phosphoric acid, industrial grade, without water, in 85% solution state;GLO;kilogram;phosphoric acid, industrial grade, without water, in 85% solution state
activated silica production;GLO;kilogram;activated silica
treatment of sewage sludge by anaerobic digestion;CH;cubic meter;biogas
market for potassium sulfate;RER;kilogram;potassium sulfate
display production, liquid crystal, 17 inches;GLO;unit;display, liquid crystal, 17 inches
electronics production, for control units;RER;kilogram;electronics, for control units
computer production, laptop;GLO;unit;computer, laptop
cobalt production;GLO;kilogram;cobalt
heavy fuel oil, burned in refinery furnace;RoW;megajoule;heavy fuel oil, burned in refinery furnace
market for chromium;GLO;kilogram;chromium
market for stone wool, packed;GLO;kilogram;stone wool, packed
market for praseodymium oxide;GLO;kilogram;praseodymium oxide
market for zirconium oxide;GLO;kilogram;zirconium oxide
market for samarium-europium-gadolinium oxide;GLO;kilogram;samarium-europium-gadolinium oxide
market for cerium oxide;GLO;kilogram;cerium oxide
market for lanthanum oxide;GLO;kilogram;lanthanum oxide
market for strontium carbonate;GLO;kilogram;strontium carbonate
market for boric oxide;GLO;kilogram;boric oxide
market for barium oxide;GLO;kilogram;barium oxide
market for tetrafluoroethylene;GLO;kilogram;tetrafluoroethylene
market for polysulfone;GLO;kilogram;polysulfone
market for concrete, 30MPa;CH;cubic meter;concrete, 30MPa
treatment of waste reinforced concrete, collection for final disposal;Europe without Switzerland;kilogram;waste reinforced concrete
market for diesel, burned in diesel-electric generating set, 10MW;GLO;megajoule;diesel, burned in diesel-electric generating set, 10MW
market for drawing of pipe, steel;GLO;kilogram;drawing of pipe, steel
market for bitumen seal;GLO;kilogram;bitumen seal
market for onshore well, oil/gas;GLO;meter;onshore well, oil/gas
market for steel, unalloyed;GLO;kilogram;steel, unalloyed
treatment of waste concrete, inert material landfill;Europe without Switzerland;kilogram;waste concrete
treatment of waste reinforcement steel, recycling;CH;kilogram;waste reinforcement steel
treatment of scrap copper, municipal incineration;Europe without Switzerland;kilogram;scrap copper
treatment of waste bitumen, sanitary landfill;Europe without Switzerland;kilogram;waste bitumen
market for urea;RER;kilogram;urea
cable production, unspecified;GLO;kilogram;cable, unspecified
heat and power co-generation unit construction, 6400kW thermal, building;CH;unit;heat and power co-generation unit, 6400kW thermal, building
heat and power co-generation unit construction, 6400kW thermal, common components for heat+electricity;CH;unit;heat and power co-generation unit, 6400kW thermal, common components for heat+electricity
heat and power co-generation unit construction, 6400kW thermal, components for electricity only;CH;unit;heat and power co-generation unit, 6400kW thermal, components for electricity only
market for sodium nitrate;GLO;kilogram;sodium nitrate
market for potassium nitrate;RER;kilogram;potassium nitrate
market for ethanol, without water, in 99.7% solution state, from ethylene;RER;kilogram;ethanol, without water, in 99.7% solution state, from ethylene
market for hexane;GLO;kilogram;hexane
market for tetrafluoroethylene film, on glass;GLO;kilogram;tetrafluoroethylene film, on glass
market for acrylonitrile-butadiene-styrene copolymer;GLO;kilogram;acrylonitrile-butadiene-styrene copolymer
market for styrene-acrylonitrile copolymer;GLO;kilogram;styrene-acrylonitrile copolymer
market for ethylene vinyl acetate copolymer;RoW;kilogram;ethylene vinyl acetate copolymer
market for [sulfonyl]urea-compound;GLO;kilogram;[sulfonyl]urea-compound
thermoforming, with calendering;RER;kilogram;thermoforming, with calendering
market for potassium chloride;RER;kilogram;potassium chloride
sodium production, sodium chloride electrolysis, molten salt cell;RER;kilogram;sodium
market for transport, freight, lorry >32 metric ton, EURO4;RER;ton kilometer;transport, freight, lorry >32 metric ton, EURO4
treatment of hazardous waste, hazardous waste incineration;CH;kilogram;hazardous waste, for incineration
esterification of rape oil;CH;kilogram;fatty acid methyl ester
lime production, milled, packed;CH;kilogram;lime, packed
market for magnesium;GLO;kilogram;magnesium
market for iron scrap, sorted, pressed;RoW;kilogram;iron scrap, sorted, pressed
treatment of inert waste, inert material landfill;CH;kilogram;inert waste, for final disposal
market for zinc concentrate;GLO;kilogram;zinc concentrate
market for titanium;GLO;kilogram;titanium
heat production, natural gas, at industrial furnace >100kW;Europe without Switzerland;megajoule;heat, district or industrial, natural gas
market for extrusion, plastic film;GLO;kilogram;extrusion, plastic film
market for phthalic anhydride;GLO;kilogram;phthalic anhydride
market for hexafluoroethane;GLO;kilogram;hexafluoroethane
market for acetone, liquid;RoW;kilogram;acetone, liquid
market for residue from shredder fraction from manual dismantling;RoW;kilogram;residue from shredder fraction from manual dismantling
market for inorganic nitrogen fertiliser, as N;CH;kilogram;inorganic nitrogen fertiliser, as N
market for pesticide, unspecified;GLO;kilogram;pesticide, unspecified
market for inorganic phosphorus fertiliser, as P2O5;CH;kilogram;inorganic phosphorus fertiliser, as P2O5
market for inorganic potassium fertiliser, as K2O;CH;kilogram;inorganic potassium fertiliser, as K2O
market for soil pH raising agent, as CaCO3;GLO;kilogram;soil pH raising agent, as CaCO3
market for sugar beet seed, for sowing;GLO;kilogram;sugar beet seed, for sowing
market for irrigation;FR;cubic meter;irrigation
market for packaging, for fertilisers;GLO;kilogram;packaging, for fertilisers
market for packaging, for pesticides;GLO;kilogram;packaging, for pesticides
steam production, as energy carrier, in chemical industry;RoW;megajoule;heat, from steam, in chemical industry
heat production, natural gas, at boiler condensing modulating >100kW;Europe without Switzerland;megajoule;heat, district or industrial, natural gas
market for chemical factory;GLO;kilogram;chemical factory
market for iodine;GLO;kilogram;iodine
market for anode, graphite, for Li-ion battery;RoW;kilogram;anode, graphite, for Li-ion battery
concrete production, 25MPa, for building construction, with cement, CEM II/B;CH;cubic meter;concrete, 25MPa
market group for electricity, high voltage;ENTSO-E;kilowatt hour;electricity, high voltage
steel production, electric, low-alloyed;Europe without Switzerland and Austria;kilogram;steel, low-alloyed
treatment of waste concrete, inert material landfill;CH;kilogram;waste concrete
aluminium casting facility construction;RER;unit;aluminium casting facility
wire drawing, copper;RER;kilogram;wire drawing, copper
anodising, aluminium sheet;RER;square meter;anodising, aluminium sheet
market for printed wiring board, through-hole mounted, unspecified, Pb free;GLO;kilogram;printed wiring board, through-hole mounted, unspecified, Pb free
plastic processing factory construction;RER;unit;plastic processing factory
polymer foaming;RER;kilogram;polymer foaming
market for transport, freight, lorry 16-32 metric ton, EURO6;RER;ton kilometer;transport, freight, lorry 16-32 metric ton, EURO6
market group for municipal solid waste;Europe without Switzerland;kilogram;municipal solid waste
market for electricity, medium voltage;ZA;kilowatt hour;electricity, medium voltage
market for hard coal;ZA;kilogram;hard coal
market for lubricating oil;RoW;kilogram;lubricating oil
market for tap water;ZA;kilogram;tap water
market for platinum group metal concentrate;ZA;kilogram;platinum group metal concentrate
market for non-ferrous metal smelter;GLO;unit;non-ferrous metal smelter
market for inert waste;RoW;kilogram;inert waste
market group for electricity, low voltage;Europe without Switzerland;kilowatt hour;electricity, low voltage
market group for diesel;RER;kilogram;diesel
treatment of waste electric and electronic equipment, shredding;GLO;kilogram;waste electric and electronic equipment
market for chemical, inorganic;GLO;kilogram;chemical, inorganic
lime production, hydrated, packed;CH;kilogram;lime, hydrated, packed
market for maize seed, for sowing;GLO;kilogram;maize seed, for sowing
market for bipyridylium-compound;GLO;kilogram;bipyridylium-compound
market for carboxymethyl cellulose, powder;GLO;kilogram;carboxymethyl cellulose, powder
treatment of spent anion exchange resin from potable water production, municipal incineration FAE;CH;kilogram;spent anion exchange resin from potable water production
market for dimethyl sulfate;RER;kilogram;dimethyl sulfate
market for triethylene glycol;RER;kilogram;triethylene glycol
aluminium production, primary, ingot;IAI Area, Asia, without China and GCC;kilogram;aluminium, primary, ingot
market for aluminium casting facility;GLO;unit;aluminium casting facility
metal working, average for aluminium product manufacturing;RoW;kilogram;metal working, average for aluminium product manufacturing
market for plastic processing factory;GLO;unit;plastic processing factory
market for casting, aluminium, lost-wax;GLO;kilogram;casting, aluminium, lost-wax
sheet rolling, steel;RER;kilogram;sheet rolling, steel
market for anode, silicon coated graphite, for Li-ion battery;CN;kilogram;anode, silicon coated graphite, for Li-ion battery
market for battery separator;GLO;kilogram;battery separator
market for alkyd paint, white, without solvent, in 60% solution state;RER;kilogram;alkyd paint, white, without solvent, in 60% solution state
market for polystyrene foam slab for perimeter insulation;GLO;kilogram;polystyrene foam slab for perimeter insulation
market for N-methyl-2-pyrrolidone;GLO;kilogram;N-methyl-2-pyrrolidone
market for epoxy resin, liquid;RER;kilogram;epoxy resin, liquid
steam production, as energy carrier, in chemical industry;RER;megajoule;heat, from steam, in chemical industry
market for copper scrap, sorted, pressed;GLO;kilogram;copper scrap, sorted, pressed
market for metal working, average for copper product manufacturing;GLO;kilogram;metal working, average for copper product manufacturing
market for ethylene carbonate;GLO;kilogram;ethylene carbonate
market for lithium hexafluorophosphate;GLO;kilogram;lithium hexafluorophosphate
ethylene glycols production, thermal hydrolysis of ethylene oxide;RER;kilogram;ethylene glycol
treatment of waste plastic, mixture, municipal incineration FAE;CH;kilogram;waste plastic, mixture
treatment of aluminium scrap, post-consumer, prepared for recycling, at remelter;RER;kilogram;aluminium, wrought alloy
market for spent anion exchange resin from potable water production;RoW;kilogram;spent anion exchange resin from potable water production
treatment of waste mineral wool, inert material landfill;Europe without Switzerland;kilogram;waste mineral wool, for final disposal
glass fibre reinforced plastic production, polyester resin, hand lay-up;RER;kilogram;glass fibre reinforced plastic, polyester resin, hand lay-up
market for concrete block;DE;kilogram;concrete block
market for polyvinylfluoride, dispersion;GLO;kilogram;polyvinylfluoride, dispersion
market for oxygen, liquid;RER;kilogram;oxygen, liquid
market for ethylene glycol dimethyl ether;GLO;kilogram;ethylene glycol dimethyl ether
aluminium ingot, primary, to aluminium, wrought alloy market;GLO;kilogram;aluminium, wrought alloy
market for aluminium, in mixed metal scrap;Europe without Switzerland;kilogram;aluminium, in mixed metal scrap
market for ammonium bicarbonate;RER;kilogram;ammonium bicarbonate
market for wastewater, average;RoW;cubic meter;wastewater, average
market for sodium silicate, solid;RoW;kilogram;sodium silicate, solid
market for sulfuric acid;RoW;kilogram;sulfuric acid
market for heat, central or small-scale, natural gas;RoW;megajoule;heat, central or small-scale, natural gas
market for packaging film, low density polyethylene;GLO;kilogram;packaging film, low density polyethylene
market for acetone, liquid;RER;kilogram;acetone, liquid
fleece production, polyethylene;RER;kilogram;fleece, polyethylene
phthalic anhydride production, o-xylene oxidation;RER;kilogram;phthalic anhydride
treatment of residue from shredder fraction from manual dismantling, municipal incineration FAE;CH;kilogram;residue from shredder fraction from manual dismantling
market for nylon 6-6;RER;kilogram;nylon 6-6
market for electronic component factory;GLO;unit;electronic component factory
market for nylon 6;RER;kilogram;nylon 6
market group for transport, freight train;RER;ton kilometer;transport, freight train
metal working factory construction;RER;unit;metal working factory
market for dimethyl carbonate;GLO;kilogram;dimethyl carbonate
synthetic rubber production;RER;kilogram;synthetic rubber
polyethylene terephthalate production, granulate, amorphous;RER;kilogram;polyethylene terephthalate, granulate, amorphous
market for cable, ribbon cable, 20-pin, with plugs;GLO;kilogram;cable, ribbon cable, 20-pin, with plugs
metal working, average for metal product manufacturing;RER;kilogram;metal working, average for metal product manufacturing
market for precious metal refinery;GLO;unit;precious metal refinery
market for cooling energy;GLO;megajoule;cooling energy
market for flat glass, uncoated;RER;kilogram;flat glass, uncoated
market for air compressor, screw-type compressor, 300kW;GLO;unit;air compressor, screw-type compressor, 300kW
market for nylon 6;RoW;kilogram;nylon 6
activated bentonite production;DE;kilogram;activated bentonite
barite production;RER;kilogram;barite
cement production, Portland;CH;kilogram;cement, Portland
diesel, burned in diesel-electric generating set, 18.5kW;GLO;megajoule;diesel, burned in diesel-electric generating set, 18.5kW
market for lignite;RER;kilogram;lignite
treatment of drilling waste, landfarming;CH;kilogram;drilling waste
treatment of drilling waste, residual material landfill;CH;kilogram;drilling waste
market for transport, freight, aircraft, unspecified;GLO;ton kilometer;transport, freight, aircraft, unspecified
market for spent solvent mixture;Europe without Switzerland;kilogram;spent solvent mixture
market for spent solvent mixture;CH;kilogram;spent solvent mixture
market for spent solvent mixture;RoW;kilogram;spent solvent mixture
market for aluminium scrap, new;RER;kilogram;aluminium scrap, new
market for cobalt;GLO;kilogram;cobalt
market for carbon monoxide;RER;kilogram;carbon monoxide
market for ethoxylated alcohol (AE3);RER;kilogram;ethoxylated alcohol (AE3)
market for molybdenum;GLO;kilogram;molybdenum
market for heat, district or industrial, natural gas;Europe without Switzerland;megajoule;heat, district or industrial, natural gas
treatment of spent solvent mixture, hazardous waste incineration;Europe without Switzerland;kilogram;spent solvent mixture
market for butadiene;RER;kilogram;butadiene
market for cyclohexane;GLO;kilogram;cyclohexane
market for soap;GLO;kilogram;soap
market for sodium persulfate;GLO;kilogram;sodium persulfate
market for styrene;GLO;kilogram;styrene
market group for heat, central or small-scale, natural gas;RER;megajoule;heat, central or small-scale, natural gas
treatment of wastewater, unpolluted, wastewater treatment;RoW;cubic meter;wastewater, unpolluted
polyvinylchloride production, bulk polymerisation;RER;kilogram;polyvinylchloride, bulk polymerised
market for ethanol, without water, in 99.7% solution state, from fermentation;GLO;kilogram;ethanol, without water, in 99.7% solution state, from fermentation
market for diethyl ether, without water, in 99.95% solution state;RoW;kilogram;diethyl ether, without water, in 99.95% solution state
market for heat, central or small-scale, natural gas;Europe without Switzerland;megajoule;heat, central or small-scale, natural gas
acrylonitrile-butadiene-styrene copolymer production;RER;kilogram;acrylonitrile-butadiene-styrene copolymer
market for integrated circuit, logic type;GLO;kilogram;integrated circuit, logic type
market for electric connector, wire clamp;GLO;kilogram;electric connector, wire clamp
sheet rolling, aluminium;RER;kilogram;sheet rolling, aluminium
market for titanium dioxide;RER;kilogram;titanium dioxide
market for copper concentrate, sulfide ore;GLO;kilogram;copper concentrate, sulfide ore
glass fibre production;RER;kilogram;glass fibre
silicon production, electronics grade;DE;kilogram;silicon, electronics grade
market for lithium chloride;GLO;kilogram;lithium chloride
market for sodium perchlorate;GLO;kilogram;sodium perchlorate
market group for electricity, high voltage;Europe without Switzerland;kilowatt hour;electricity, high voltage
market for tetraethyl orthosilicate;GLO;kilogram;tetraethyl orthosilicate
market for lithium;GLO;kilogram;lithium
market for process-specific burdens, sanitary landfill;CH;kilogram;process-specific burdens, sanitary landfill
market for aluminium collector foil, for Li-ion battery;GLO;kilogram;aluminium collector foil, for Li-ion battery
market for manganese dioxide;GLO;kilogram;manganese dioxide
market for soda ash, dense;GLO;kilogram;soda ash, dense
drawing of pipe, steel;RER;kilogram;drawing of pipe, steel
gravel and sand quarry operation;CH;kilogram;gravel, round
transport, helicopter;GLO;hour;transport, helicopter
transport, helicopter, LTO cycle;GLO;unit;transport, helicopter, LTO cycle
treatment of waste mineral wool, inert material landfill;CH;kilogram;waste mineral wool, for final disposal
sheet rolling, aluminium;RoW;kilogram;sheet rolling, aluminium
lithium production, lithium chloride electrolysis;GLO;kilogram;lithium
market for transport, freight, sea, bulk carrier for dry goods;GLO;ton kilometer;transport, freight, sea, bulk carrier for dry goods
market for hydrogen fluoride;RER;kilogram;hydrogen fluoride
market for lime, hydrated, packed;RER;kilogram;lime, hydrated, packed
market for limestone residue;RoW;kilogram;limestone residue
market for phosphorus pentachloride;GLO;kilogram;phosphorus pentachloride
market for sodium fluoride;GLO;kilogram;sodium fluoride
sodium fluoride production;GLO;kilogram;sodium fluoride
market for transport, freight train;CN;ton kilometer;transport, freight train
market group for tap water;GLO;kilogram;tap water
market group for heat, district or industrial, natural gas;GLO;megajoule;heat, district or industrial, natural gas
market for triethyl amine;GLO;kilogram;triethyl amine
market for inert waste, for final disposal;CH;kilogram;inert waste, for final disposal
market for inert waste, for final disposal;RoW;kilogram;inert waste, for final disposal
market for chlorine, liquid;RoW;kilogram;chlorine, liquid
market for aluminium scrap, new;RoW;kilogram;aluminium scrap, new
market for aluminium, primary, ingot;RoW;kilogram;aluminium, primary, ingot
soda ash, light, crystalline, heptahydrate, to generic market for neutralising agent;RoW;kilogram;neutralising agent, sodium hydroxide-equivalent
market for acetoacetic acid;GLO;kilogram;acetoacetic acid
market for butene, mixed;RER;kilogram;butene, mixed
market for hydrogen, gaseous, medium pressure, merchant;RER;kilogram;hydrogen, gaseous, medium pressure, merchant
market for sodium tetrahydridoborate;GLO;kilogram;sodium tetrahydridoborate
market for rape seed;RoW;kilogram;rape seed
market for compost;GLO;kilogram;compost
market for inorganic nitrogen fertiliser, as N;ID;kilogram;inorganic nitrogen fertiliser, as N
